FID,Perimeter,Area,Acres,Hectares,LCU_C1,LCU_N1,LCU_C2,LCU_N2,COVER_C,COVER_N,HEIGHT_C1,HEIGHT_C2,HEIGHT_N,CLASS_31,CLASS_31_N,CLASS_31_D,CLASS_15_C,CLASS_15_N,CLASS_7_C,CLASS_7_N,HNA_C1,HNA_C2,HNA_N1,HYDRO_C1,HYDRO_C2,HYDRO_N,HYD_REG_C,HYD_REG_N,LAND_WATER,NVCS2_CODE,NVCS2_DESC
39,18721.534087100001000,9305841.541770000000000,1.483560596780000,0.600375672909000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
40,24191.919333400001000,19153526.916499998000000,3.053503296300000,1.235708942540000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
41,89714.467793300006000,65269322.623400003000000,10.405399102000001,4.210915618370000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
42,48948.017375700001000,74612323.363000005000000,11.894883711300000,4.813688654090000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
43,52733.373423199999000,64081045.103000000000000,10.215960919600001,4.134252705870000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
44,25296.058944500001000,14468425.957400000000000,2.306592751610000,0.933444969070000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
45,13153.763698799999000,3558566.052079999800000,0.567315524577000,0.229584447416000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
46,21923.714632700001000,8049494.153979999900000,1.283270545410000,0.519321164838000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
47,11186.285238000000000,7526919.323990000400000,1.199960355450000,0.485606727107000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
48,35945.046707399997000,33513656.262400001000000,5.342831130500000,2.162167047420000,RFAA,Rooted Floating Aquatics; 10-33% density,Rf,Rooted floating aquatics,A,10-33 percent,0.000000000000000, , ,Rf,Rooted floating aquatics,Emergents - rooted floating aquatics (lotus and/or water lily) may include <50% annual or perennial emergents,Rf,Rooted floating aquatics,Ow,Open water,3.000000000000000,Rf,Rooted floating aquatic bed,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,5.B.1.D049.M108.G114,Eastern North American Freshwater Aquatic Vegetation Group
