FID,RowID_,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
1836,79176,SCB,D13.RS,6/26/2017 0:00:00,703570,4308285,1,1670,54.868524602800001
1837,79233,MCB-U,D6.RS,8/14/2015 0:00:00,744720,4307035,1,1551,311.582501546000000
1838,79290,BWC-S,D10.RS,8/2/2010 0:00:00,740320,4309085,1,2554,8.135957023570001
1839,79332,BWC-S,F185A.RS,8/7/2008 0:00:00,721800,4438100,0,22073,35.019009048199997
1840,79387,BWC-S,F19A.RS,9/23/2004 0:00:00,781950,4493900,0,24087,16.044713181999999
1841,79400,SCB,D6.RS,9/4/2005 0:00:00,817645,4142690,0,5414,40.099170287100002
1842,79401,SCB,D10.RS,6/18/1998 0:00:00,734620,4312535,1,2581,177.346280713999990
1843,79437,SCB,D9.RS,9/25/2002 0:00:00,715200,4430950,1,22496,160.418150731999990
1844,79453,BWC-S,D27.RS,8/5/2015 0:00:00,760700,4478200,0,24030,6.223525235180000
1845,79495,BWC-S,D31.RS,10/20/1999 0:00:00,730600,4446450,0,26776,82.496245100600007
1846,79496,BWC-S,D10.RS,8/7/2001 0:00:00,726920,4313835,0,1919,0.655249852473000
1847,79497,MCB-U,D5.RS,10/3/2001 0:00:00,726820,4314585,1,1925,50.730317797200001
1848,79533,MCB-U,D5.RS,9/8/2014 0:00:00,736670,4310935,1,1690,57.093369873199997
1849,79554,MCB-U,D15.RS,8/1/1996 0:00:00,712550,4428100,1,22471,32.144814419699998
1850,79555,BWC-S,F13A.RS,6/19/1997 0:00:00,727670,4313535,1,1913,3.750000000000000
1851,79581,SCB,C29A.RS,7/30/2007 0:00:00,820195,4115190,0,5343,38.695995897700001
1852,79602,BWC-S,D26.RS,6/17/2004 0:00:00,783500,4499450,1,26740,0.000000000000000
1853,79614,BWC-S,F32A.RS,7/11/2012 0:00:00,740470,4309135,0,1660,41.004130952200001
1854,79653,MCB-U,D2.RS,10/29/1993 0:00:00,815645,4148590,1,5918,26.009769465100000
1855,79708,BWC-S,D23.RS,8/22/2000 0:00:00,746350,4459750,1,22706,50.031749025300002
1856,79724,MCB-U,D2.RS,9/28/2015 0:00:00,778800,4494550,0,24093,15.735614729900000
1857,79753,SCB,D20.RS,10/19/2015 0:00:00,740000,4449850,1,23079,25.841780920900000
1858,79913,SCB,D23.RS,7/21/2016 0:00:00,715550,4430950,0,22496,54.263394896400001
1859,79938,MCB-U,B13A.RS,8/8/2013 0:00:00,812295,4137589,0,5881,31.663747628199999
1860,80020,IMP-S,H20A.RS,10/21/2016 0:00:00,744120,4306035,0,1949,56.330577808100003
1861,80082,TRI,HD00.9M,9/10/2013 0:00:00,808024,4127457,1,5847,36.407637582299998
1862,80116,MCB-U,D15.RS,8/25/1995 0:00:00,718900,4433244,1,26748,22.807253061000001
1863,80229,BWC-S,F319A.RS,6/21/2012 0:00:00,722050,4438200,1,21853,12.134714046499999
1864,80400,BWC-S,F379A.RS,9/4/2012 0:00:00,712550,4428850,1,22496,18.746323924100000
1865,80430,MCB-W,M235.0W,9/10/2008 0:00:00,703215,4309782,0,1510,38.187890142100002
1866,80502,BWC-S,D17.RS,10/28/2011 0:00:00,737020,4310085,0,2685,0.000000000000000
1867,80503,BWC-S,D19.RS,8/19/2010 0:00:00,739550,4448400,0,22255,49.063438869099997
1868,80504,BWC-S,D33.RS,10/13/1995 0:00:00,723150,4440000,0,24581,25.624851482099999
1869,80720,SCB,D8.RS,7/2/2004 0:00:00,822545,4105890,1,7608,0.000000000000000
1870,80737,BWC-S,F21A.RS,9/24/2004 0:00:00,736320,4312435,0,1807,25.421105858400001
1871,80778,MCB-U,D8.RS,8/2/2013 0:00:00,750400,4470500,0,22742,42.866283510899997
1872,80884,MCB-U,D5.RS,10/28/2005 0:00:00,740620,4310635,1,2550,0.000000000000000
1873,80924,IMP-S,D23.RS,10/5/2006 0:00:00,743870,4306085,0,2554,9.267026125550000
1874,81037,MCB-U,80840.15835,7/18/1996 0:00:00,808395,4158340,1,4882,51.175227289100000
1875,81089,SCB,D13.RS,8/14/2017 0:00:00,749900,4467250,0,22120,16.862976016499999
1876,81206,BWC-S,F8A.RS,10/29/2002 0:00:00,739320,4309335,0,1664,48.503819305699999
1877,81236,SCB,D18.RS,9/27/2012 0:00:00,741350,4451200,1,22675,21.727606469400001
1878,81268,SCB,D12.RS,10/18/2012 0:00:00,704070,4308935,1,1670,55.474887162300000
1879,81318,IMP-S,D21.RS,8/6/2009 0:00:00,746220,4305285,0,2554,20.774294583100001
1880,81380,MCB-U,D16.RS,6/29/1998 0:00:00,710850,4424000,0,25237,53.156800925500001
1881,81394,SCB,D20.RS,6/27/1997 0:00:00,716750,4431400,1,22185,26.600901886100001
1882,81419,TRI,BM00.7S,8/28/1997 0:00:00,808309,4164557,1,5957,0.000000000000000
1883,81475,MCB-U,D2.RS,9/9/1994 0:00:00,725470,4315785,0,2556,47.949112290700000
1884,81501,BWC-S,F227A.RS,8/8/1997 0:00:00,739400,4448450,1,22664,0.000000000000000
1885,81559,BWC-S,D17.RS,8/29/2007 0:00:00,726870,4313835,1,1919,19.691407327099999
1886,81597,BWC-S,F174A.RS,8/7/2008 0:00:00,722500,4439000,1,22078,18.384499999700001
1887,81627,SCB,D14.RS,7/6/2015 0:00:00,714320,4304435,0,1628,55.140624117500003
