FID,RowID_,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
487,20530,MCB-U,D2.RS,8/18/2009 0:00:00,761450,4480850,0,10089,35.514660131299998
488,20549,BWC-S,D19.RS,6/22/2004 0:00:00,724350,4440750,0,12083,81.132344855499994
489,20564,MCB-U,D2.RS,10/15/2004 0:00:00,808545,4131240,0,3866,65.481100243499995
490,20579,SCB,D35.RS,8/6/2004 0:00:00,738450,4448900,1,11034,13.252859846000000
491,20623,IMP-S,D21.RS,8/26/2002 0:00:00,745570,4306035,0,643,43.407796288199997
492,20647,BWC-S,F3A.RS,6/24/2004 0:00:00,738520,4309435,1,340,103.726199999000000
493,20677,SCB,I113.0T,10/6/1995 0:00:00,743494,4454903,1,11046,14.125612611799999
494,20805,BWC-S,D25.RS,8/27/2012 0:00:00,784450,4500000,0,12753,49.511019975899998
495,20806,SCB,D16.RS,8/6/2007 0:00:00,736070,4312785,1,550,121.815538581000000
496,20865,MCB-U,D5.RS,9/9/2004 0:00:00,705520,4306985,1,498,52.777651090600003
497,20934,MCB-U,D1.RS,6/19/2000 0:00:00,807145,4166540,0,2347,77.528954068100006
498,20951,BWC-S,F234A.RS,10/19/1998 0:00:00,746050,4458300,1,10667,408.142937852999980
499,21057,MCB-U,D31.RS,8/15/2001 0:00:00,734900,4448000,0,11026,42.289173816500004
500,21082,SCB,D7.RS,7/30/2007 0:00:00,816895,4118690,0,2212,0.000000000000000
501,21083,SCB,D6.RS,8/24/2007 0:00:00,809095,4131840,1,1046,80.347326734299997
502,21093,BWC-S,D18.RS,10/13/2009 0:00:00,727570,4313535,0,563,5.418215440500000
503,21104,SCB,D14.RS,6/30/2016 0:00:00,810445,4129240,1,2245,37.134314512000003
504,21106,BWC-S,F201A.RS,10/24/1994 0:00:00,712700,4428500,1,10457,58.631353984699999
505,21158,MCB-W,M232.7E,10/29/2010 0:00:00,706062,4307454,0,980,75.286035659800007
506,21159,BWC-S,D21.RS,10/24/2006 0:00:00,720750,4437750,0,10030,39.501781041400001
507,21160,SCB,81080.1293,8/22/1997 0:00:00,810795,4129290,1,2247,85.893869148199997
508,21192,MCB-U,D1.RS,7/15/2010 0:00:00,809145,4133740,1,1967,94.818995404099994
509,21349,SCB,D19.RS,10/1/2012 0:00:00,738050,4448500,1,12715,48.150982266400000
510,21379,IMP-S,D21.RS,10/17/2012 0:00:00,744820,4306335,1,284,17.145429878800002
511,21497,SCB,81070.12945,9/26/1996 0:00:00,810695,4129440,1,2247,70.830987492399998
512,21528,BWC-S,F9A.RS,10/4/2012 0:00:00,736620,4312235,1,550,27.195862172399998
513,21563,BWC-S,F65A.RS,7/21/1994 0:00:00,736450,4445550,1,10590,20.674973741399999
514,21631,BWC-S,D19.RS,9/20/2001 0:00:00,761400,4478850,0,11613,153.709364830000000
515,21818,BWC-S,D18.RS,10/18/2005 0:00:00,701620,4312635,0,963,19.344233307800000
516,21833,MCB-U,D32.RS,9/9/2003 0:00:00,719150,4434200,0,10469,40.762075087299998
517,21876,MCB-U,D5.RS,9/5/1997 0:00:00,772650,4493600,0,10309,39.265158975500000
518,21886,SCB,D7.RS,10/7/2008 0:00:00,807745,4168390,0,1469,371.568165195000010
519,21887,SCB,D11.RS,6/15/2003 0:00:00,809395,4131090,0,1960,174.447465120000000
520,21888,SCB,D19.RS,9/25/2017 0:00:00,741350,4452300,1,11040,23.769414244899998
521,21962,BWC-S,D4.RS,10/7/1996 0:00:00,783500,4500100,NA,12277,0.000000000000000
522,21963,BWC-S,D30.RS,9/19/2007 0:00:00,720300,4435850,0,9805,220.377782270000010
523,21985,TRI,BM00.7S,6/28/2002 0:00:00,808309,4164557,0,2345,0.000000000000000
524,22011,MCB-U,D1.RS,8/13/2013 0:00:00,785300,4502949,0,11234,78.656203337400001
525,22012,MCB-U,D2.RS,9/19/2013 0:00:00,764700,4488850,0,11161,47.096049305500003
526,22047,BWC-S,F381A.RS,6/29/2012 0:00:00,712950,4429300,0,10457,142.404149635000010
527,22072,SCB,D23.RS,7/3/2012 0:00:00,722750,4441300,1,10973,4.626215739170000
528,22104,BWC-S,D16.RS,6/18/2013 0:00:00,734070,4310635,1,346,5.307495169240000
529,22145,BWC-S,D15.RS,10/16/2017 0:00:00,699820,4319235,1,413,90.454755479300005
530,22176,MCB-U,D33.RS,9/26/2002 0:00:00,740650,4454600,1,11705,57.156506193799999
531,22242,MCB-U,D8.RS,10/15/2009 0:00:00,711600,4425300,1,10432,36.522111744400000
532,22262,IMP-S,D24.RS,10/12/2001 0:00:00,744970,4306285,0,679,31.173019362200002
533,22282,BWC-S,D3.RS,10/20/1998 0:00:00,761700,4483350,0,12744,329.154944071999980
534,22326,SCB,D19.RS,8/18/2000 0:00:00,718270,4311585,0,543,84.986491571499997
535,22515,BWC-S,F315A.RS,10/19/2017 0:00:00,721800,4438150,0,10034,78.214379313699993
536,22527,MCB-U,81380.1268,8/16/1996 0:00:00,813795,4126790,1,2603,193.405091550000010
537,22663,SCB,81155.12895,9/26/1996 0:00:00,811545,4128940,1,1382,50.583621455900001
538,22734,MCB-U,D3.RS,6/26/2014 0:00:00,816245,4141390,1,4188,0.000000000000000
539,22747,BWC-S,F18A.RS,6/26/2017 0:00:00,783850,4499000,1,12007,0.000000000000000
540,22782,MCB-U,M070.2A,10/14/2014 0:00:00,809550,4155709,0,2330,35.707353797099998
541,22873,MCB-U,D6.RS,7/11/2011 0:00:00,732220,4311385,1,348,10.226800000300001
542,22890,MCB-U,D6.RS,6/19/2009 0:00:00,757500,4477850,0,11129,203.730453414000010
543,22998,SCB,D5.RS,9/9/2003 0:00:00,714400,4430650,1,10457,32.378910541400003
544,23030,SCB,D9.RS,7/3/2007 0:00:00,816095,4143790,1,2296,38.151520352100000
545,23051,MCB-U,D8.RS,8/25/1998 0:00:00,745820,4306335,0,281,127.390782644000000
546,23075,SCB,D24.RS,6/25/1999 0:00:00,768700,4491800,1,11175,14.642128033400001
547,23092,MCB-W,M232.7E,9/22/2011 0:00:00,706062,4307454,0,980,75.286035659800007
