RowID,stratum,lcode,sdate,utm_e,utm_n,snag
132171,TRI,HD00.9M,9/24/2015,276094,4124923,1
132446,MCB-W,M040.7E,7/31/2015,282728,4117250,0
133072,TWZ,I157.8V,10/29/1998,277614,4500738,1
133974,MCB-W,M037.2E,7/28/2014,285186,4112135,0
134319,TWZ,I157.8V,6/18/2002,277614,4500738,1
134454,TWZ,I157.8V,9/2/1999,277614,4500738,0
134506,MCB-W,M044.4W,6/15/2012,281126,4122599,0
135476,MCB-W,M035.9E,9/19/2017,286483,4110534,0
136190,TWZ,I157.8Vb,8/19/2013,277614,4500738,0
136443,TWZ,I157.8Va,6/27/2013,277614,4500738,1
136583,TWZ,I157.8V,8/20/1993,277614,4500738,0
138981,SCB,81715.11865,7/13/1995,284473,4115378,1
139099,SCB,D10.RS,8/10/2015,277910,4127544,0
139747,MCB-W,M070.6E,9/28/2012,279648,4153243,0
142704,MCB-U,D3.RS,10/30/2001,288096,4107714,1
145174,MCB-U,B16A.RS,8/19/2002,282076,4134756,0
145212,SCB,D8.RS,7/9/2002,277991,4165800,0
145865,SCB,D9.RS,8/15/2002,286592,4138982,0
146090,MCB-W,M032.0W,10/29/2012,288202,4105222,0
146091,MCB-W,M044.4W,9/15/2008,281126,4122599,0
146966,MCB-W,M063.4E,10/11/2017,285260,4143805,0
147047,TWZ,I157.8V,9/13/1995,277614,4500738,0
147988,MCB-W,M072.1E,8/4/2005,278721,4155579,0
148869,MCB-U,D1.RS,10/25/2002,279581,4151596,1
149397,MCB-W,M057.0E,7/22/2016,283288,4134872,0
149442,TWZ,I157.8Vb,9/2/2014,277614,4500738,0
149585,SCB,D12.RS,9/17/2015,286259,4112793,0
149615,MCB-W,M073.6E,10/19/2015,277791,4157389,0
149924,TWZ,I157.8V,8/15/2006,277614,4500738,0
149981,TWZ,I157.8Vb,10/17/2017,277614,4500738,0
150145,TWZ,I157.8V,8/8/2002,277614,4500738,0
150331,TWZ,I157.8Va,6/22/2017,277614,4500738,1
150687,MCB-W,M038.0W,9/8/2017,284148,4112929,0
150821,MCB-W,M061.3W,10/19/2012,285495,4140441,0
151025,MCB-W,M040.0E,9/26/2002,283502,4116182,0
