"fishdata_rownum","stratum","lcode","sdate","snag","river_mile","wingdyke","riprap","barcode","summary","zone15e","zone15n","utmzone","uniq_id","pool","perimeter","max_depth","avg_depth","tot_vol","shoreline_density_index","pct_terr","pct_prm_wetf","near_terr_dist","near_terr_class_7","near_terr_name","near_forest_dist","year","upperlower"
285337,"IMP-S","D15.RS","8/1/2007 0:00:00",0,526,0,0,13005482,5,735375,4648485,15,"P13_CFL_199","P13",5919.16964929,2.25,0.837383111426,464745,2.21142004151,10.6609071456,2.33777725133,31.2265921882,"Fo","Forest",31.2265921882,"2007","upper"
285344,"MCB-U","D8.RS","10/11/1999 0:00:00",1,753,0,1,11003064,5,584195,4909545,15,"P04_SCB_21","P04",21609.4745128,10.8,2.44333386562,4590230.25,4.42739636142,28.4856353856,6.86034011092,47.9923356825,"Fo","Forest",53.1802572021,"1999","upper"
285427,"BWC-S","D18.RS","10/10/2013 0:00:00",0,760,0,0,11006622,2,579444,4917695,15,"P04_CFL_19","P04",101956.383817,5.42,0.75617603899,6286104,9.68090857796,95.4124250007,38.2085133977,0,"Fo","Forest",12.0240933549,"2013","upper"
285428,"MCB-W","M694.5M","9/9/2009 0:00:00",0,694,1,0,12006310,5,641163,4848022,15,"P08_SCB_28","P08",5630.98329799,11.14,2.25811117025,742410.5,2.66850774193,30.9036322987,22.4474199565,68.7831589064,"Fo","Forest",68.7831589064,"2009","upper"
285646,"BWC-O","D13.RS","8/9/1994 0:00:00",0,788,0,0,11000579,5,540545,4935545,15,"P04_CFL_72","P04",7512.17507218,4.78,0.589803696531,600998,1.974579501,93.8456321726,22.0457986205,40.8050509011,"Ma","Marsh",109.451775399,"1994","upper"
285656,"IMP-S","D22.RS","6/30/2016 0:00:00",0,685,0,0,12008177,2,641120,4834800,15,"P08_CFL_337","P08",19065.1603893,4.64,0.757269208716,1943231,3.30226219226,64.0359589671,35.797219517,31.1352675236,"Fo","Forest",31.1352675236,"2016","upper"
285729,"SCB","D11.RS","10/10/2013 0:00:00",0,758,0,0,11006626,2,580295,4914395,15,"P04_CFL_19","P04",101956.383817,5.42,0.75617603899,6286104,9.68090857796,95.4124250007,38.2085133977,3.42319384424,"Ma","Marsh",17.5310400741,"2013","upper"
285750,"SCB","D11.RS","10/24/2012 0:00:00",0,687,0,0,12007246,5,639220,4836400,15,"P08_SC_1","P08",32633.3361514,7.59,2.63571613336,8457288.25,5.13248298039,12.2944867496,2.48022617975,128.711800692,"Ma","Marsh",186.198262988,"2012","upper"
285788,"SCB","D13.RS","8/20/2014 0:00:00",1,758,0,0,11006791,5,579045,4913595,15,"P04_SC_7","P04",3784.10780096,3.61,1.21324916178,289481.25,2.1560383435,77.9617267656,47.4400726936,36.8623928418,"Fo","Forest",36.8623928418,"2014","upper"
285808,"BWC-S","D14.RS","10/28/2008 0:00:00",1,688,0,0,12006216,5,641070,4839100,15,"P08_CFL_343","P08",31667.3380386,6.19,1.05468925818,10188246,2.84584439207,32.6010711185,16.0550876231,19.9574572471,"Ma","Marsh",905.249271782,"2008","upper"
