"fishdata_rownum","stratum","lcode","sdate","snag","river_mile","wingdyke","riprap","barcode","summary","zone15e","zone15n","utmzone","uniq_id","pool","perimeter","max_depth","avg_depth","tot_vol","shoreline_density_index","pct_terr","pct_prm_wetf","near_terr_dist","near_terr_class_7","near_terr_name","near_forest_dist","year","upperlower"
44804,"MCB-U","D6.RS","10/29/2012 0:00:00",0,NA,0,1,15007765,5,814845,4120190,15,"OR2_SCB_59","OR2",16777.3891847,16.76,6.1809936302,10528395.5,3.44134008132,49.0481654185,38.6893070546,140.315087631,"Fo","Forest",140.315087631,"2012","lower"
44834,"SCB","C39A.RS","10/11/2013 0:00:00",0,NA,0,0,15008096,5,809094,4131489,15,"OR2_SC_8","OR2",12576.3721332,22.23,2.46940248406,2206905,2.40482568889,83.9830061542,64.1471084297,107.526312743,"Fo","Forest",107.526312743,"2013","lower"
44875,"MCB-U","D7.RS","8/18/2011 0:00:00",1,NA,0,0,15007344,5,814245,4137890,15,"OR2_SCB_87","OR2",15010.7081328,20.84,6.23087823658,9872359.25,3.16319716197,47.7291755667,47.7291755667,67.8302470195,"Fo","Forest",67.8302470195,"2011","lower"
44878,"BWC-S","F162A.RS","9/27/2013 0:00:00",0,NA,0,0,16011612,5,746549,4458950,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.635869164,"Fo","Forest",516.467727828,"2013","lower"
44957,"MCB-W","M225.1W","10/22/2001 0:00:00",0,NA,1,0,14003392,5,715436,4308059,15,"P26_TSC_16","P26",5224.29922397,11.52,2.59405477622,1067907.5,2.25171540268,79.7316656911,70.242449096,76.1263270144,"Fo","Forest",76.1263270144,"2001","lower"
45031,"BWC-S","F32A.RS","8/29/2017 0:00:00",1,NA,0,0,14008111,5,739570,4309235,15,"P26_CFL_15","P26",9077.45972914,1.9,1.02276589021,558123,3.43775466019,96.1420201321,64.2829257821,41.4223312354,"Fo","Forest",41.4223312354,"2017","lower"
45046,"MCB-U","A6A.RS","6/27/2003 0:00:00",1,NA,0,1,14004063,5,721320,4314835,15,"P26_USCB_18","P26",3889.17004443,12.27,5.07784579689,1422558.5,2.05591793111,44.8364642291,8.7401632537,76.8105549807,"Fo","Forest",76.8105549807,"2003","lower"
45184,"MCB-U","D4.RS","10/17/2017 0:00:00",0,NA,0,0,16013164,5,760600,4480450,15,"LAG_USCB_1","LAG",252888.63427,23.35,2.54889741019,16268847.5,25.8882924173,49.4565711524,29.1405058451,22.1693829866,"Dv","Developed",22.1693829866,"2017","lower"
45213,"SCB","D11.RS","8/27/1997 0:00:00",1,NA,0,1,14001714,5,717620,4310735,15,"P26_SC_7","P26",23945.6146994,15.92,4.3569686113,16295934,3.45859917963,87.0830153348,64.2612174203,142.055787068,"Fo","Forest",142.055787068,"1997","lower"
45270,"SCB","D22.RS","10/30/2000 0:00:00",0,NA,0,0,14003111,5,714870,4304835,15,"P26_TSC_12","P26",13791.0685045,8.46,3.20836616396,3196415,3.80066558419,93.6680136879,57.0859404213,22.1203652955,"Dv","Developed",103.051839909,"2000","lower"
45318,"IMP-S","D22.RS","10/16/2008 0:00:00",0,NA,0,1,14005394,5,746670,4305435,15,"P26_CFL_57","P26",8239.71795592,7.69,2.73122884393,4927095,1.72442044131,80.1772860784,19.632795323,46.1869297348,"Dv","Developed",314.114976494,"2008","lower"
45346,"SCB","D10.RS","8/2/2012 0:00:00",0,NA,0,0,14006519,5,735770,4312935,15,"P26_TSC_20","P26",8693.52157254,5.8,2.02923622754,1694412.25,2.68287608321,80.6367096935,45.8639443303,49.2039877979,"Fo","Forest",49.2039877979,"2012","lower"
45372,"MCB-U","D6.RS","8/20/2014 0:00:00",0,NA,0,1,14007120,5,702570,4310735,15,"P26_USCB_14","P26",6665.63127584,11.48,5.265753142,701793.25,5.11343557724,45.2115130362,44.6606254837,4.99929126423,"Fo","Forest",4.99929126423,"2014","lower"
45443,"SCB","C95A.RS","10/21/2011 0:00:00",1,NA,0,0,16010599,5,714750,4430750,15,"LAG_SC_9","LAG",1618.80608218,3.73,2.00796517252,155667.5,1.5806817652,60.7579838937,60.7579838937,36.3888676427,"Fo","Forest",36.3888676427,"2011","lower"
45473,"MCB-U","D6.RS","8/11/2011 0:00:00",0,NA,0,1,14006152,5,715520,4309085,15,"P26_USCB_12","P26",6015.09505186,8.34,3.43728386866,1682808.25,2.39942494565,46.9673436876,20.5159753309,49.6941310227,"Fo","Forest",49.6941310227,"2011","lower"
45640,"BWC-S","D11.RS","6/24/2004 0:00:00",1,NA,0,0,14004175,5,739570,4309235,15,"P26_CFL_15","P26",9077.45972914,1.9,1.02276589021,558123,3.43775466019,96.1420201321,64.2829257821,41.4223312354,"Fo","Forest",41.4223312354,"2004","lower"
45690,"BWC-S","D2.RS","9/7/1999 0:00:00",0,NA,0,0,16005050,2,760650,4478200,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6672204448,"Fo","Forest",108.515105247,"1999","lower"
45723,"MCB-W","M077.0E","8/29/1997 0:00:00",1,NA,1,0,15002007,5,807555,4166011,15,"OR2_SCB_89","OR2",36221.8586441,24.19,5.6275121245,27210428,4.30130154602,49.2079790119,43.5192482837,91.5270210668,"Dv","Developed",91.5270210668,"1997","lower"
45766,"IMP-S","D24.RS","7/16/2002 0:00:00",0,NA,0,1,14003564,5,745070,4305785,15,"P26_CFL_57","P26",8239.71795592,7.69,2.73122884393,4927095,1.72442044131,80.1772860784,19.632795323,64.4983528689,"Dv","Developed",161.569649164,"2002","lower"
45819,"MCB-U","D5.RS","8/11/2004 0:00:00",0,NA,0,0,16007802,5,738400,4451850,15,"LAG_USCB_1","LAG",252888.63427,23.35,2.54889741019,16268847.5,25.8882924173,49.4565711524,29.1405058451,18.6091480761,"Fo","Forest",18.6091480761,"2004","lower"
