"fishdata_rownum","stratum","lcode","sdate","snag","river_mile","wingdyke","riprap","barcode","summary","zone15e","zone15n","utmzone","uniq_id","pool","perimeter","max_depth","avg_depth","tot_vol","shoreline_density_index","pct_terr","pct_prm_wetf","near_terr_dist","near_terr_class_7","near_terr_name","near_forest_dist","year","upperlower"
285124,"MCB-W","M225.1W","7/12/2012 0:00:00",0,NA,1,1,14006438,5,715436,4308059,15,"P26_TSC_16","P26",5224.29922397,11.52,2.59405477622,1067907.5,2.25171540268,79.7316656911,70.242449096,76.1263270144,"Fo","Forest",76.1263270144,"2012","lower"
285165,"MCB-U","D1.RS","9/14/2009 0:00:00",1,NA,0,1,15006762,5,810295,4155640,15,"OR2_SCB_89","OR2",36221.8586441,24.19,5.6275121245,27210428,4.30130154602,49.2079790119,43.5192482837,48.2919130558,"Fo","Forest",48.2919130558,"2009","lower"
285183,"SCB","D13.RS","8/20/2013 0:00:00",0,NA,0,0,15007995,2,810244,4129589,15,"OR2_SC_8","OR2",12576.3721332,22.23,2.46940248406,2206905,2.40482568889,83.9830061542,64.1471084297,140.851236527,"Fo","Forest",140.851236527,"2013","lower"
285184,"SCB","82070.11405","7/14/1997 0:00:00",1,NA,0,0,15001774,5,820695,4114040,15,"OR2_SC_7","OR2",16677.1301677,14.08,1.88918445016,2370312.5,3.29820987158,92.6066704151,59.3807301462,24.3320072364,"Fo","Forest",24.3320072364,"1997","lower"
285196,"MCB-U","D1.RS","8/28/2002 0:00:00",0,NA,0,0,16006967,5,761900,4481300,15,"LAG_USCB_1","LAG",252888.63427,23.35,2.54889741019,16268847.5,25.8882924173,49.4565711524,29.1405058451,43.9264897818,"Fo","Forest",52.6347314383,"2002","lower"
285229,"BWC-S","D20.RS","6/24/2004 0:00:00",0,NA,0,0,14004178,2,736270,4310685,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Ow","Open water",5.28376390831,"2004","lower"
285424,"BWC-S","D28.RS","9/11/1997 0:00:00",1,NA,0,0,16003428,5,757150,4476300,15,"LAG_CFL_20","LAG",21602.8316481,3.25,0.630601911651,59540,10.0855485245,99.6065909174,37.3304839314,26.6530948019,"Ag","Agriculture",26.6530948019,"1997","lower"
285478,"SCB","D9.RS","9/2/2004 0:00:00",0,NA,0,0,14004445,5,704770,4307485,15,"P26_SC_4","P26",8245.16009791,14.96,2.82502297317,1906043,2.70308690133,87.2997840433,83.7112323799,62.3581789698,"Fo","Forest",62.3581789698,"2004","lower"
285519,"BWC-S","D16.RS","10/10/1995 0:00:00",0,NA,0,0,14001015,5,699920,4319285,15,"P26_CFL_53","P26",1722.26621104,5.19,1.98047404063,152367,1.48746813156,93.410215913,13.5353073182,112.698996726,"Dv","Developed",141.511708914,"1995","lower"
285542,"IMP-S","D22.RS","10/25/2010 0:00:00",1,NA,0,0,14006014,3,744220,4306435,15,"P26_CFL_57","P26",8239.71795592,7.69,2.73122884393,4927095,1.72442044131,80.1772860784,19.632795323,46.9282682444,"Fo","Forest",46.9282682444,"2010","lower"
