FID,Field1,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
1615,56540,IMP-S,F12.RS,10/1/2013 0:00:00,737075,4650984,0,3163,42.252772274199998
1616,56541,IMP-S,F14.RS,8/4/2014 0:00:00,642520,4836800,0,2697,70.694329898999996
1617,56551,IMP-S,H34A.RS,9/22/1997 0:00:00,639470,4831770,1,2267,456.024941559000010
1618,56588,BWC-S,F3.RS,9/23/1996 0:00:00,728725,4669735,NA,4716,12.553821557299999
1619,56596,BWC-S,F16A.RS,7/15/2014 0:00:00,720275,4675836,1,3376,47.132526006900001
1620,56605,BWC-S,F4.RS,6/23/2015 0:00:00,577795,4915345,1,438,28.292423552999999
1621,56670,BWC-S,F5.RS,7/2/2001 0:00:00,579845,4914445,1,430,25.502455852400001
1622,56676,BWC-S,F8.RS,10/24/2005 0:00:00,727325,4669785,1,4714,29.754136451800001
1623,56798,BWC-S,F5.RS,10/25/2017 0:00:00,728775,4670335,0,4721,46.215624503000001
1624,56799,BWC-S,F54A.RS,8/23/2017 0:00:00,639020,4837100,0,2274,79.483895943899995
1625,56834,BWC-S,D14.RS,10/15/2013 0:00:00,642420,4848299,0,2415,17.766044813899999
1626,56994,BWC-S,D17.RS,10/26/2017 0:00:00,544645,4934145,0,1712,9.942959438500001
1627,56999,MCB-U,D4.RS,8/18/2010 0:00:00,576345,4915745,1,873,48.444919903699997
1628,57037,BWC-S,D18.RS,8/23/2012 0:00:00,640170,4840450,0,2706,49.115509195800001
1629,57114,TWZ,M702.2C,10/22/1990 0:00:00,636418,4858054,NA,2560,40.196156057800003
1630,57121,IMP-S,F14.RS,9/21/1995 0:00:00,642670,4836900,1,2697,7.064337185260000
1631,57132,BWC-S,F4.RS,8/7/1996 0:00:00,730425,4669285,1,4717,14.441554007700001
1632,57172,BWC-S,F7.RS,6/23/1997 0:00:00,736825,4659285,0,3208,75.065928595900004
1633,57181,BWC-S,F1.RS,8/22/2011 0:00:00,715375,4680035,0,2986,27.003240922300002
1634,57182,BWC-S,F4.RS,6/28/2007 0:00:00,737025,4658885,0,3538,37.678835695799997
1635,57206,IMP-S,H38A.RS,10/23/2007 0:00:00,641320,4827700,0,2006,2232.504775830000200
1636,57279,SCB,D7.RS,8/10/2004 0:00:00,640070,4841050,1,2281,14.469052839500000
1637,57292,IMP-S,D24.RS,8/10/1999 0:00:00,642020,4827350,1,2585,1495.054761769999900
1638,57311,BWC-S,F7A.RS,9/5/1996 0:00:00,641920,4843700,0,2088,342.949901929000020
1639,57388,SCB,D12.RS,7/11/1997 0:00:00,641570,4842000,1,2053,135.831820107000000
1640,57434,SCB,D3.RS,9/26/2005 0:00:00,637870,4858150,1,2561,43.395333065999999
1641,57487,SCB,D5.RS,6/29/2004 0:00:00,737075,4657335,1,3521,31.707261791400001
1642,57529,MCB-U,D1.RS,6/28/1996 0:00:00,638770,4854350,1,2684,0.000000000000000
1643,57564,BWC-S,M692.7S,10/10/1990 0:00:00,643263,4844980,1,2333,23.275056533600001
1644,57595,SCB,C27A.RS,8/24/2005 0:00:00,735175,4656135,0,3516,53.235757849300001
1645,57600,MCB-U,D5.RS,10/11/1999 0:00:00,585645,4909095,1,138,115.014713814999990
1646,57632,SCB,D6.RS,9/6/1995 0:00:00,736225,4657485,1,3522,47.806186346899999
1647,57687,BWC-S,D19.RS,7/8/1996 0:00:00,640020,4838400,0,2820,92.478376922500004
1648,57729,BWC-S,D24.RS,9/30/1996 0:00:00,580145,4915345,NA,1694,145.705836299999990
1649,57740,BWC-S,D20.RS,7/2/1997 0:00:00,643070,4845150,0,2117,67.485782263000004
1650,57741,BWC-S,F83A.RS,7/12/2013 0:00:00,584345,4911095,1,383,155.484831882000010
1651,57758,MCB-U,D3.RS,10/27/2015 0:00:00,724125,4673536,0,3792,10.900478596499999
1652,57779,BWC-S,D13.RS,10/26/2005 0:00:00,640920,4842950,1,2312,87.705022490399998
1653,57837,BWC-S,D14.RS,9/26/2007 0:00:00,641870,4845650,0,2354,74.881650704600005
1654,57838,MCB-U,D6.RS,8/19/1997 0:00:00,584645,4909995,0,1826,65.583981345200002
1655,57915,BWC-S,F36A.RS,8/27/2009 0:00:00,734875,4660435,0,3552,35.570325129899999
1656,57963,BWC-S,F71A.RS,8/8/2006 0:00:00,578845,4915895,0,181,75.955727675999995
1657,57987,BWC-S,F75A.RS,9/18/2006 0:00:00,580045,4915945,0,1695,224.725378272000000
1658,58057,IMP-S,F14.RS,9/5/2006 0:00:00,643720,4839850,1,1939,409.777887871000020
1659,58074,TWZ,M796.9M,8/10/2004 0:00:00,531013,4939618,0,1172,34.469228987400001
1660,58081,BWC-S,F76A.RS,8/29/2006 0:00:00,734625,4668035,1,3648,16.866290834899999
1661,58091,BWC-S,F8.RS,9/20/2017 0:00:00,738625,4658785,0,3540,11.646485109900000
1662,58092,BWC-S,F10.RS,9/7/1999 0:00:00,640120,4837400,0,2938,373.020460576999990
1663,58130,BWC-S,F9.RS,7/24/1996 0:00:00,641620,4846200,0,2360,45.431622694399998
1664,58131,BWC-S,F2.RS,8/29/2012 0:00:00,639620,4851450,0,2446,43.829120957900003
1665,58187,BWC-S,F3.RS,10/6/2004 0:00:00,578645,4914645,0,1762,54.990509818299998
1666,58188,BWC-S,M536.9M,9/25/1990 0:00:00,733888,4663573,NA,3621,7.974255174200000
1667,58237,BWC-S,F1.RS,10/7/2010 0:00:00,643170,4846450,0,2144,30.585431341700001
1668,58256,BWC-S,F1.RS,7/8/2002 0:00:00,717075,4677685,1,3079,34.973763548400001
1669,58267,BWC-S,F3.RS,8/3/2004 0:00:00,579795,4915495,0,1694,80.553865141399996
1670,58268,BWC-S,M536.8L,8/20/1991 0:00:00,733596,4663476,NA,3611,16.988365005999999
1671,58285,BWC-S,F30A.RS,9/29/2016 0:00:00,573945,4917345,1,928,0.000000000000000
1672,58377,BWC-S,F1.RS,10/15/1996 0:00:00,713925,4681385,1,3869,32.046820900199997
1673,58390,IMP-S,F14.RS,7/13/2011 0:00:00,640470,4836400,0,1948,32.940549110900001
1674,58426,BWC-S,F3.RS,6/23/2011 0:00:00,580345,4913995,1,425,16.670160648300001
1675,58445,BWC-S,F12.RS,7/16/2012 0:00:00,639220,4836700,0,2695,30.564106350700001
1676,58458,BWC-S,F6.RS,8/6/1997 0:00:00,642920,4841800,0,2299,142.971803883000010
1677,58497,MCB-W,M760.6E,10/5/1998 0:00:00,576200,4915800,0,466,92.404784426999996
1678,58541,BWC-S,F3.RS,9/22/2009 0:00:00,583495,4912795,1,404,28.823510444200000
1679,58561,BWC-S,F5.RS,8/2/2001 0:00:00,734875,4661385,1,3235,196.799548378999990
1680,58590,IMP-S,F13.RS,8/3/2016 0:00:00,735175,4649685,1,4158,73.232199589900006
1681,58591,BWC-S,F3.RS,9/21/1998 0:00:00,640570,4841100,0,2283,99.475385867800000
1682,58597,BWC-S,F71A.RS,10/3/2007 0:00:00,580945,4916645,0,319,76.055508916299999
1683,58667,BWC-S,F12.RS,8/19/2013 0:00:00,639420,4836249,0,2665,83.655615357800002
1684,58685,BWC-S,F5.RS,6/24/1996 0:00:00,583895,4908595,1,20,242.951930054999990
1685,58697,BWC-S,F8.RS,9/26/1995 0:00:00,732975,4662885,1,3603,189.465390971000010
1686,58717,IMP-S,H8A.RS,8/16/2001 0:00:00,735275,4651085,1,4265,95.717485185499996
1687,58752,BWC-S,F2.RS,9/30/1993 0:00:00,636970,4857700,0,2560,57.543137218900000
1688,58776,BWC-S,M692.7R,8/15/1994 0:00:00,642904,4844961,1,2333,15.877699698100001
1689,58850,BWC-S,D9.RS,7/12/2012 0:00:00,729825,4669635,1,4351,7.525871424500000
1690,58894,MCB-W,M753.7E,7/14/2009 0:00:00,585355,4909540,0,1284,165.052242842000000
1691,58897,BWC-S,F19A.RS,9/6/2005 0:00:00,541145,4935595,1,699,54.210530017499998
1692,58918,MCB-U,D22.RS,10/21/2003 0:00:00,583845,4910995,1,43,132.601250087000010
1693,59004,MCB-U,D3.RS,10/25/1999 0:00:00,639970,4850400,0,2441,486.181629174000020
1694,59012,IMP-S,D15.RS,6/25/1993 0:00:00,735875,4651085,1,4265,679.531964622000030
1695,59032,BWC-S,M536.8L,7/26/1990 0:00:00,733596,4663476,NA,3611,16.988365005999999
1696,59096,MCB-W,M556.3C,7/25/2013 0:00:00,713145,4681371,0,3097,80.977722775100005
1697,59109,MCB-W,M754.65W,7/24/2014 0:00:00,584329,4910541,0,1485,45.308217338500000
1698,59322,SCB,C42A.RS,7/20/2017 0:00:00,640470,4838800,0,2276,349.398389726000000
1699,59337,MCB-U,D1.RS,10/19/2009 0:00:00,734875,4663535,1,4705,106.796010634000000
1700,59353,MCB-U,D2.RS,8/14/2007 0:00:00,724175,4673485,1,3792,29.627956196000000
1701,59425,MCB-U,D1.RS,6/30/1998 0:00:00,541645,4934895,1,1095,28.713239838800000
1702,59436,BWC-S,F98A.RS,10/16/2014 0:00:00,585595,4908995,0,1819,135.741613924000010
1703,59476,SCB,D10.RS,6/26/2001 0:00:00,584245,4910745,1,1485,156.977128894999990
1704,59509,SCB,D10.RS,9/30/1996 0:00:00,579995,4913995,1,840,24.648564426499998
1705,59559,MCB-U,D6.RS,7/8/1997 0:00:00,582745,4912095,1,1191,45.263658055699999
1706,59586,SCB,D9.RS,7/18/2013 0:00:00,535745,4937594,1,1428,18.284093601500000
1707,59630,SCB,D18.RS,10/12/1995 0:00:00,583045,4912295,0,163,34.221063685799997
1708,59665,BWC-S,F3.RS,10/14/1996 0:00:00,638570,4855200,1,2530,12.823513533100000
1709,59681,BWC-S,F80A.RS,8/12/2010 0:00:00,579395,4915445,1,855,68.529908473500001
1710,59928,IMP-S,F16.RS,7/22/1997 0:00:00,643320,4828150,0,1947,1109.211584490000000
1711,59929,BWC-S,F9.RS,9/30/1997 0:00:00,733625,4664035,0,4710,43.114806968700002
1712,59930,BWC-S,F6.RS,8/12/1998 0:00:00,584445,4908145,0,787,280.899223365000010
1713,59950,BWC-S,F6.RS,9/28/1998 0:00:00,583945,4909645,1,40,28.410082365600001
1714,60004,BWC-S,F4.RS,6/20/2016 0:00:00,582245,4914995,1,315,17.005958863099998
1715,60009,BWC-S,F4.RS,8/29/2011 0:00:00,640470,4849700,1,2433,29.473553052600000
1716,60030,BWC-S,F10.RS,6/20/1996 0:00:00,733075,4662685,1,3597,41.716459118800003
1717,60076,IMP-S,F11.RS,6/17/2009 0:00:00,735025,4649635,1,4158,70.754558905099998
1718,60122,BWC-S,F6A.RS,10/4/1999 0:00:00,716675,4679235,1,3411,14.039535783900000
1719,60186,BWC-S,M692.7R,9/17/1998 0:00:00,642904,4844961,1,2333,15.877699698100001
1720,60251,IMP-S,F15.RS,8/18/1994 0:00:00,643470,4833500,0,2691,109.157523737000010
1721,60252,MCB-W,M696.8I,10/24/1991 0:00:00,639499,4850832,NA,2458,60.373609393599999
1722,60259,MCB-W,M696.8I,9/11/1991 0:00:00,639499,4850832,NA,2458,60.373609393599999
1723,60265,BWC-S,F1.RS,7/29/1998 0:00:00,639870,4840350,0,2829,0.000000000000000
1724,60305,BWC-S,F4.RS,10/5/2004 0:00:00,734825,4661985,0,3582,62.728167861800003
1725,60306,BWC-S,F1.RS,8/4/1999 0:00:00,641370,4844650,0,2328,80.083270994700001
1726,60307,BWC-S,F4.RS,6/21/2010 0:00:00,579595,4914545,0,850,19.276565591600001
1727,60311,BWC-S,F1.RS,8/12/2013 0:00:00,580145,4915045,0,1694,354.973098396000010
1728,60323,BWC-S,F2.RS,9/18/2014 0:00:00,539745,4935745,0,710,81.579628377000006
1729,60330,BWC-S,F4.RS,9/18/2014 0:00:00,641770,4848850,0,2182,21.635866806199999
1730,60377,BWC-S,F52A.RS,9/16/2002 0:00:00,585695,4908945,NA,1819,42.253308632400000
1731,60398,IMP-S,F12.RS,6/21/2016 0:00:00,738225,4650535,1,3161,52.537462137900000
