FID,Field1,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
4662,166545,BWC-S,M701.8C,10/6/1994 0:00:00,636936,4857532,1,5998,0.000000000000000
4663,166568,IMP-S,F14.RS,9/16/2009 0:00:00,733875,4648185,0,11356,14.015598923900001
4664,166569,TWZ,M796.9M,9/29/2014 0:00:00,531164,4939769,0,1939,108.158015873000000
4665,166588,IMP-S,F14.RS,8/27/1997 0:00:00,643220,4837050,0,7676,26.314202169000001
4666,166599,IMP-S,F15.RS,9/28/2009 0:00:00,643470,4838450,1,6139,33.521170470400001
4667,166647,BWC-S,F78A.RS,8/30/2017 0:00:00,735375,4654735,1,11115,64.903015166200007
4668,166649,BWC-S,F12.RS,10/5/2015 0:00:00,640820,4839950,0,5188,14.670797300800000
4669,166650,BWC-S,F2.RS,7/2/1997 0:00:00,585245,4909995,0,628,0.000000000000000
4670,166651,BWC-S,F5.RS,10/12/1999 0:00:00,638720,4856200,0,5312,28.715899456700001
4671,166722,MCB-W,M759.15W,8/26/2009 0:00:00,578938,4914184,0,3862,52.379869602200003
4672,166743,MCB-W,M696.8I,7/18/1991 0:00:00,639499,4850832,NA,5896,60.373609393599999
4673,166752,MCB-U,D2.RS,10/25/2013 0:00:00,537145,4935294,1,726,33.595622725200002
4674,166770,IMP-S,D18.RS,7/2/2012 0:00:00,736475,4642285,1,13385,8.940176474319999
4675,166774,MCB-U,D7.RS,10/10/2000 0:00:00,583145,4912045,1,930,53.766106242900001
4676,166829,BWC-S,D12.RS,10/20/2008 0:00:00,733225,4669285,0,8590,19.102827930299998
4677,166830,BWC-S,D16.RS,7/16/2013 0:00:00,643070,4846349,0,6920,0.000000000000000
4678,166876,BWC-S,D12.RS,9/9/2009 0:00:00,642370,4844950,0,4872,6.482636315970000
4679,166877,MCB-U,D8.RS,8/16/1999 0:00:00,532195,4939345,1,2329,31.739857447300000
4680,166939,BWC-S,D17.RS,10/4/2012 0:00:00,640620,4847950,0,5608,0.187276214677000
