FID,RowID_,stratum,lcode,sdate,utm_e,utm_n,snag
123,5465,SCB,D35.RS,7/13/2007 0:00:00,749900,4467250,0
124,5835,MCB-U,D3.RS,9/11/2009 0:00:00,815645,4146990,0
125,5853,BWC-S,D18.RS,10/4/1999 0:00:00,741770,4308085,0
126,5854,BWC-S,F76A.RS,6/16/1995 0:00:00,784400,4499850,1
127,5871,MCB-W,M225.1W,10/28/2016 0:00:00,715436,4308059,0
128,5902,SCB,C77A.RS,7/15/2010 0:00:00,810395,4129740,1
129,5906,BWC-S,F219A.RS,6/26/2007 0:00:00,719650,4433200,0
130,5966,IMP-S,H5A.RS,8/10/2004 0:00:00,744370,4306635,0
131,5991,MCB-U,D5.RS,6/27/2014 0:00:00,760450,4480150,1
132,6013,SCB,C93A.RS,10/4/2000 0:00:00,820745,4113640,1
133,6107,BWC-S,D15.RS,7/14/1994 0:00:00,736520,4310285,0
134,6108,TRI,BM00.7S,10/16/2001 0:00:00,808309,4164557,0
135,6132,BWC-S,D21.RS,8/28/2007 0:00:00,719800,4433650,0
136,6210,MCB-U,D17.RS,7/13/1995 0:00:00,755700,4475300,1
137,6235,SCB,D14.RS,7/17/1996 0:00:00,703420,4309535,1
138,6272,MCB-U,D33.RS,6/27/2002 0:00:00,782650,4499550,0
139,6283,IMP-S,D23.RS,6/27/1997 0:00:00,745720,4306235,1
140,6303,MCB-U,D3.RS,10/28/2014 0:00:00,779850,4495200,0
141,6322,SCB,D18.RS,8/30/2017 0:00:00,741400,4452350,1
142,6373,SCB,D9.RS,10/14/1998 0:00:00,719720,4315635,1
143,6408,MCB-U,D19.RS,10/7/1996 0:00:00,783650,4500900,NA
144,6433,MCB-U,D2.RS,8/13/2013 0:00:00,781650,4494550,0
145,6534,SCB,D10.RS,9/1/2004 0:00:00,820395,4114040,0
146,6613,SCB,D5.RS,10/2/2003 0:00:00,715700,4431050,0
147,6620,MCB-U,M070.2A,8/4/2005 0:00:00,809550,4155709,0
148,6646,MCB-U,B25A.RS,10/20/2017 0:00:00,749100,4465350,0
