RowID,stratum,lcode,sdate,utm_e,utm_n,snag
240673,MCB-W,M544.4T,9/28/2007,728548,4671808,0
240699,SCB,D11.RS,10/18/2005,536395,4937195,1
240729,MCB-W,M796.8M,8/16/1999,531445,4939670,0
240759,SCB,D5.RS,10/11/2010,544995,4934595,1
240773,SCB,D13.RS,10/21/2003,583795,4911645,1
240832,IMP-S,D23.RS,9/23/1994,639620,4830050,1
240854,BWC-S,D19.RS,9/8/2015,543745,4933795,0
240855,SCB,D10.RS,8/19/1993,641070,4843200,1
240895,MCB-U,D1.RS,9/8/2009,718425,4676035,0
240994,MCB-U,D1.RS,9/8/2008,638270,4854650,1
241029,MCB-U,D1.RS,9/27/1996,720325,4675085,1
241083,BWC-S,D18.RS,7/20/2016,641570,4846150,0
241155,BWC-S,F48A.RS,7/14/1999,640720,4841100,0
241254,BWC-S,D12.RS,8/30/2004,737175,4660735,0
241282,MCB-W,M548.7M,10/9/2014,722737,4674403,0
241335,MCB-W,M694.9M,9/26/2002,641034,4848151,0
241407,IMP-S,D21.RS,6/20/1996,641270,4835300,0
241444,MCB-U,D3.RS,10/25/2013,542995,4934094,1
241445,SCB,D14.RS,9/24/2001,582445,4911995,1
241519,BWC-S,M692.7R,7/26/1990,642904,4844961,NA
241601,MCB-U,D1.RS,8/21/2002,637270,4856100,0
241611,BWC-S,D12.RS,8/22/2001,638020,4856950,0
241612,SCB,D10.RS,8/19/1998,584345,4910595,1
241637,BWC-S,D15.RS,9/30/2009,583995,4910995,0
241638,SCB,D10.RS,10/20/2004,575595,4915745,1
241660,MCB-W,M550.2E,8/3/1999,720094,4675172,0
241662,SCB,D12.RS,7/25/2011,583295,4912945,1
241675,SCB,D6.RS,8/28/2007,545245,4934595,1
241765,IMP-S,H36A.RS,8/22/2005,735125,4650585,1
241790,MCB-U,D2.RS,10/25/1999,639920,4852600,0
241832,MCB-U,D1.RS,6/30/2000,532795,4938845,1
241872,BWC-S,F73A.RS,7/16/1998,736425,4660835,0
241927,SCB,D10.RS,10/3/2017,640370,4842000,1
241960,SCB,D10.RS,7/25/2012,542845,4934745,1
241980,SCB,D5.RS,7/19/2013,713825,4679485,1
242007,SCB,D11.RS,6/17/2015,578095,4914895,1
242033,SCB,D8.RS,10/10/2005,640020,4841200,1
242092,SCB,D7.RS,10/14/1993,542245,4934845,0
242113,SCB,C5A.RS,8/21/1995,582895,4913495,1
242166,BWC-S,D13.RS,10/7/2011,638720,4857650,0
242225,BWC-S,D10.RS,8/31/1999,734975,4662335,0
242226,BWC-S,F54A.RS,8/10/2017,732775,4662185,0
242254,MCB-U,D22.RS,10/12/2007,574395,4916845,1
242305,BWC-S,D10.RS,8/1/2014,729075,4670135,1
242386,MCB-W,M550.5K,8/11/2006,719825,4675203,0
242417,IMP-S,D21.RS,6/29/2010,643270,4835450,0
242452,BWC-S,D17.RS,10/27/1999,642120,4843000,1
242472,BWC-S,D11.RS,8/9/2000,640970,4840250,0
242473,SCB,D14.RS,9/26/1997,640970,4842450,0
242474,BWC-S,D19.RS,9/19/2017,643220,4840700,0
242557,BWC-S,D12.RS,10/22/2009,541295,4936695,1
242571,BWC-S,D7.RS,7/15/2011,719075,4677535,1
